hour_ending,cooling,poolpump,plugload,other,total,,,,,,,,
5516,580.7421361,314.128122,1023.256304,2387.598043,4305.724605,,,,,,,,
5517,476.0840641,252.21966,1231.392049,2873.248114,4832.943887,,,,,,,,
5518,400.3923741,181.139574,1286.021317,3000.716407,4868.269672,,,,,,,,
5519,328.6812506,126.10983,1273.51347,2971.531431,4699.835981,,,,,,,,
5520,287.8854233,139.867266,998.9748543,2330.941327,3757.66887,,,,,,,,
5521,263.8675006,149.03889,871.9820413,2034.624763,3319.513195,,,,,,,,
5522,232.1553693,114.6453,826.9432207,1929.534182,3103.278072,,,,,,,,
5523,210.1830267,144.453078,798.3816738,1862.890572,3015.908351,,,,,,,,
5524,193.6640659,165.089232,773.7901693,1805.510395,2938.053862,,,,,,,,
5525,186.2031849,162.796326,789.3466227,1841.808786,2980.15492,,,,,,,,
5526,156.7081409,217.82607,895.551189,2089.619441,3359.704841,,,,,,,,
5527,152.1805823,401.25855,592.1035256,1381.574893,2527.117551,,,,,,,,
5528,172.4301402,525.075474,480.5492071,1121.281483,2299.336305,,,,,,,,
5529,231.7180598,642.01368,396.7633614,925.7811766,2196.276278,,,,,,,,
5530,341.6666795,882.76881,328.0804248,765.5209913,2318.036906,,,,,,,,
5531,427.4471779,1063.908384,319.1554538,744.696059,2555.207075,,,,,,,,
5532,589.4491365,1151.038812,260.9231977,608.8207946,2610.231941,,,,,,,,
5533,691.2759933,1070.787102,207.4311356,484.005983,2453.500214,,,,,,,,
5534,734.2073161,1029.514794,236.1514881,551.0201388,2550.893737,,,,,,,,
5535,789.377952,930.919836,353.5969184,825.0594762,2898.954183,,,,,,,,
5536,813.3502139,777.295134,423.0998347,987.2329476,3000.97813,,,,,,,,
5537,783.1808839,646.599492,557.6214937,1301.116819,3288.518688,,,,,,,,
5538,718.7371592,451.702482,577.0916832,1346.547261,3094.078585,,,,,,,,
5539,647.7921844,343.9359,689.4996685,1608.83256,3290.060313,,,,,,,,
5540,539.9672901,314.128122,1143.77388,2668.805721,4666.675013,,,,,,,,
5541,421.0924791,252.21966,1251.732355,2920.708828,4845.753322,,,,,,,,
5542,358.071897,181.139574,1162.746566,2713.075321,4415.033359,,,,,,,,
5543,301.0991034,126.10983,1091.045672,2545.773234,4064.027839,,,,,,,,
5544,249.8109437,139.867266,983.2982978,2294.362695,3667.339202,,,,,,,,
5545,232.2984441,149.03889,985.6179892,2299.775308,3666.730631,,,,,,,,
5546,211.1961119,114.6453,819.0534398,1911.124693,3056.019544,,,,,,,,
5547,184.3748624,144.453078,800.9581789,1868.902417,2998.688537,,,,,,,,
5548,161.9557343,165.089232,882.322342,2058.752131,3268.11944,,,,,,,,
5549,147.698132,162.796326,828.2033278,1932.474431,3071.172217,,,,,,,,
5550,121.7920936,217.82607,834.6380615,1947.48881,3121.745035,,,,,,,,
5551,118.5940568,401.25855,565.1707838,1318.731829,2403.755219,,,,,,,,
5552,131.0666925,525.075474,480.2683422,1120.626132,2257.03664,,,,,,,,
5553,198.1874454,642.01368,499.7995329,1166.19891,2506.199568,,,,,,,,
5554,304.4963832,882.76881,499.7673591,1166.123838,2853.15639,,,,,,,,
5555,421.0854578,1063.908384,425.9745217,993.9405507,2904.908914,,,,,,,,
5556,520.6094567,1151.038812,288.6915465,673.6136084,2633.953424,,,,,,,,
5557,614.6097789,1070.787102,377.7300288,881.3700673,2944.496977,,,,,,,,
5558,692.5634093,1029.514794,448.9706902,1047.598277,3218.647171,,,,,,,,
5559,737.5582275,930.919836,522.2829465,1218.660209,3409.421219,,,,,,,,
5560,757.0367287,777.295134,588.2696149,1372.629101,3495.230579,,,,,,,,
5561,734.0439946,646.599492,762.6763923,1779.578249,3922.898128,,,,,,,,
5562,679.9298967,451.702482,809.0036145,1887.6751,3828.311094,,,,,,,,
5563,623.3778432,343.9359,993.719378,2318.678549,4279.71167,,,,,,,,
5564,515.4713313,314.128122,1267.152927,2956.690163,5053.442543,,,,,,,,
5565,384.7064224,252.21966,1360.632835,3174.809948,5172.368865,,,,,,,,
5566,288.5974071,181.139574,1198.527271,2796.563631,4464.827883,,,,,,,,
5567,255.1810238,126.10983,1062.777017,2479.813039,3923.88091,,,,,,,,
5568,231.3942507,139.867266,915.4242657,2135.989953,3422.675736,,,,,,,,
5569,199.5112606,149.03889,782.1408549,1824.995328,2955.686334,,,,,,,,
5570,175.5118003,114.6453,776.1893206,1811.108415,2877.454836,,,,,,,,
5571,139.2955588,144.453078,781.0951377,1822.555321,2887.399096,,,,,,,,
5572,132.670728,165.089232,745.6059073,1739.747117,2783.112984,,,,,,,,
5573,112.4089843,162.796326,774.5089386,1807.187523,2856.901772,,,,,,,,
5574,118.5589244,217.82607,740.0695891,1726.829041,2803.283625,,,,,,,,
5575,110.7143729,401.25855,460.5530492,1074.623782,2047.149754,,,,,,,,
5576,111.9986298,525.075474,288.6049061,673.4114477,1599.090458,,,,,,,,
5577,170.2399035,642.01368,220.8536624,515.3252122,1548.432458,,,,,,,,
5578,241.1161872,882.76881,58.93222505,137.5085251,1320.325747,,,,,,,,
5579,349.8037273,1063.908384,5.51302956,12.86373564,1432.088877,,,,,,,,
5580,426.2385873,1151.038812,58.06572173,135.486684,1770.829805,,,,,,,,
5581,512.1095211,1070.787102,66.64410628,155.5029146,1805.043644,,,,,,,,
5582,559.5332701,1029.514794,88.04200681,205.4313492,1882.52142,,,,,,,,
5583,596.0030401,930.919836,51.44336776,120.0345248,1698.400769,,,,,,,,
5584,631.5630885,777.295134,88.46229917,206.4120314,1703.732553,,,,,,,,
5585,606.0029206,646.599492,401.9753933,937.9425844,2592.52039,,,,,,,,
5586,562.1115472,451.702482,560.3135234,1307.398221,2881.525774,,,,,,,,
5587,476.5396032,343.9359,453.1564152,1057.364969,2330.996887,,,,,,,,
5588,368.1518338,314.128122,1043.078097,2433.848892,4159.206945,,,,,,,,
5589,277.1799842,252.21966,1170.483081,2731.12719,4431.009915,,,,,,,,
5590,242.7380227,181.139574,1174.714135,2740.999649,4339.59138,,,,,,,,
5591,212.6885578,126.10983,1178.8746,2750.707401,4268.380389,,,,,,,,
5592,169.1006724,139.867266,934.243239,2179.900891,3423.112068,,,,,,,,
5593,149.7091057,149.03889,1029.479424,2402.118656,3730.346076,,,,,,,,
5594,129.3907865,114.6453,865.6065908,2019.748712,3129.391389,,,,,,,,
5595,119.2334153,144.453078,953.0093956,2223.68859,3440.384479,,,,,,,,
5596,104.0031051,165.089232,821.1409033,1915.995441,3006.228681,,,,,,,,
5597,96.89109545,162.796326,856.03106,1997.405807,3113.124288,,,,,,,,
5598,87.91074328,217.82607,872.9878351,2036.971615,3215.696264,,,,,,,,
5599,83.53045057,401.25855,820.4516839,1914.387262,3219.627947,,,,,,,,
5600,90.40118413,525.075474,548.7637729,1280.448803,2444.689234,,,,,,,,
5601,117.3578648,642.01368,607.3954139,1417.255966,2784.022924,,,,,,,,
5602,181.301175,882.76881,386.2078049,901.1515447,2351.429335,,,,,,,,
5603,271.3341985,1063.908384,343.8707287,802.3650337,2481.478345,,,,,,,,
5604,389.7896284,1151.038812,359.1549238,838.0281556,2738.01152,,,,,,,,
5605,466.752167,1070.787102,313.0837787,730.5288169,2581.151865,,,,,,,,
5606,506.4241707,1029.514794,411.1647382,959.3843892,2906.488092,,,,,,,,
5607,527.2476957,930.919836,485.6266279,1133.128798,3076.922958,,,,,,,,
5608,532.6396646,777.295134,335.7829659,783.4935871,2429.211352,,,,,,,,
5609,533.4001649,646.599492,474.6391895,1107.491442,2762.130288,,,,,,,,
5610,493.7352066,451.702482,578.3099548,1349.389895,2873.137538,,,,,,,,
5611,431.1578675,343.9359,552.1668629,1288.389347,2615.649977,,,,,,,,
5612,347.1926322,314.128122,871.9488715,2034.547367,3567.816993,,,,,,,,
5613,259.7330243,252.21966,1147.614858,2677.768002,4337.335544,,,,,,,,
5614,202.0955672,181.139574,968.774211,2260.473159,3612.482511,,,,,,,,
5615,170.7963296,126.10983,897.8442006,2094.969801,3289.720161,,,,,,,,
5616,139.4162651,139.867266,910.3398976,2124.126428,3313.749857,,,,,,,,
5617,118.7878802,149.03889,835.9238801,1950.489054,3054.239704,,,,,,,,
5618,113.1079191,114.6453,843.1350014,1967.315003,3038.203224,,,,,,,,
5619,91.63945554,144.453078,833.6825871,1945.25937,3015.03449,,,,,,,,
5620,73.17253981,165.089232,768.7988726,1793.864036,2800.92468,,,,,,,,
5621,74.91973238,162.796326,777.9333415,1815.177797,2830.827197,,,,,,,,
5622,73.80315282,217.82607,778.7647871,1817.117837,2887.511846,,,,,,,,
5623,69.85091027,401.25855,508.2617394,1185.944059,2165.315258,,,,,,,,
5624,73.7249133,525.075474,419.2788373,978.317287,1996.396512,,,,,,,,
5625,95.39677072,642.01368,308.3283716,719.432867,1765.171689,,,,,,,,
5626,133.9849346,882.76881,175.1677367,408.7247191,1600.6462,,,,,,,,
5627,206.5492219,1063.908384,86.20005316,201.1334574,1557.791116,,,,,,,,
5628,301.182636,1151.038812,298.4321879,696.3417719,2446.995408,,,,,,,,
5629,395.9033663,1070.787102,272.3774903,635.5474775,2374.615436,,,,,,,,
5630,480.3929718,1029.514794,322.2445945,751.9040538,2584.056414,,,,,,,,
5631,537.3142421,930.919836,476.8401996,1112.627132,3057.70141,,,,,,,,
5632,575.9475364,777.295134,309.3810691,721.8891612,2384.512901,,,,,,,,
5633,556.717519,646.599492,261.8673382,611.0237891,2076.208138,,,,,,,,
5634,526.1485047,451.702482,398.9144824,930.800459,2307.565928,,,,,,,,
5635,435.3675562,343.9359,505.5272148,1179.563501,2464.394172,,,,,,,,
5636,338.9954724,314.128122,872.6315916,2036.14038,3561.895566,,,,,,,,
5637,232.5314966,252.21966,1028.805278,2400.545648,3914.102082,,,,,,,,
5638,168.8922565,181.139574,1003.737319,2342.053745,3695.822895,,,,,,,,
5639,145.3476367,126.10983,1000.377078,2334.213182,3606.047727,,,,,,,,
5640,115.4639022,139.867266,916.7998857,2139.199733,3311.330787,,,,,,,,
5641,109.1315237,149.03889,812.3865697,1895.568663,2966.125646,,,,,,,,
5642,101.9621937,114.6453,799.5441402,1865.602994,2881.754628,,,,,,,,
5643,93.47632277,144.453078,792.5040368,1849.176086,2879.609523,,,,,,,,
5644,63.31964214,165.089232,767.7013749,1791.303208,2787.413457,,,,,,,,
5645,65.16478314,162.796326,786.3988938,1834.930752,2849.290755,,,,,,,,
5646,56.65041763,217.82607,759.7735853,1772.805032,2807.055105,,,,,,,,
5647,53.94800208,401.25855,601.7906797,1404.178253,2461.175485,,,,,,,,
5648,62.56703017,525.075474,662.0293993,1544.735265,2794.407169,,,,,,,,
5649,81.14417251,642.01368,507.7160828,1184.67086,2415.544795,,,,,,,,
5650,114.9395836,882.76881,534.7767583,1247.812436,2780.297588,,,,,,,,
5651,165.7344404,1063.908384,472.17207,1101.73483,2803.549724,,,,,,,,
5652,265.0850595,1151.038812,428.7893348,1000.508448,2845.421654,,,,,,,,
5653,340.4023643,1070.787102,416.0213414,970.7164633,2797.927271,,,,,,,,
5654,435.6500065,1029.514794,461.7836736,1077.495238,3004.443712,,,,,,,,
5655,485.3684622,930.919836,534.9696782,1248.262583,3199.520559,,,,,,,,
5656,520.3399089,777.295134,406.1082101,947.5858236,2651.329077,,,,,,,,
5657,523.20453,646.599492,554.0021022,1292.671572,3016.477696,,,,,,,,
5658,479.666498,451.702482,458.0648425,1068.817966,2458.251788,,,,,,,,
5659,414.0508747,343.9359,841.8168289,1964.239268,3564.042871,,,,,,,,
5660,334.1224147,314.128122,1158.19564,2702.456493,4508.902669,,,,,,,,
5661,235.0458375,252.21966,1248.984267,2914.296624,4650.546388,,,,,,,,
5662,175.8798164,181.139574,1205.450259,2812.71727,4375.186919,,,,,,,,
5663,125.9652832,126.10983,1151.150117,2686.016939,4089.242169,,,,,,,,
5664,109.8759101,139.867266,817.6435665,1907.834989,2975.221731,,,,,,,,
5665,93.63757096,149.03889,752.7962266,1756.524529,2751.997216,,,,,,,,
5666,78.66264373,114.6453,802.0029627,1871.340246,2866.651153,,,,,,,,
5667,68.21874358,144.453078,796.9438485,1859.535647,2869.151317,,,,,,,,
