,Emissions/Supply (C02 kg/kWh),Supply (GWh),Emissions (mmTh)
313,0.26033896856098654,46789,12181
314,0.2501690797918593,72451,18125
315,0.24435385242560131,98120,23976
316,0.24082162197008766,124096,29885
317,0.23849435846033118,151643,36166
318,0.24411164057181756,176280,43032
319,0.2423980939505942,208599,50564
320,0.23880216176421376,239064,57089
321,0.23305134024872914,266555,62121
322,0.22751230457193086,292371,66518
323,0.22305978720450328,316924,70693
324,0.2185944251362014,340672,74469
325,0.21463608462128686,364920,78325
326,0.2109774722195083,388942,82058
327,0.20773441937472054,413735,85947
328,0.20644822959729212,440493,90939
329,0.2068649477777707,471351,97506
330,0.20820601408055406,505946,105341
331,0.2127049901365166,534294,113647
332,0.2136936342432119,569783,121759
333,0.21454052900812218,604641,129720
334,0.2151631959134427,638190,137315
335,0.2158052398697939,670322,144659
336,0.23618358407922302,26255,6201
337,0.23878846153846153,52000,12417
338,0.24041829862592262,77361,18599
339,0.24181360201511334,102823,24864
340,0.24300118898719908,129522,31474
341,0.2435922458462139,158831,38690
342,0.24483353522005652,190701,46690
343,0.24631668528269773,225612,55572
344,0.24456660404054462,258678,63264
345,0.24084399597766912,288390,69457
346,0.2375800012673468,315620,74985
347,0.23513651217541023,341508,80301
348,0.23302509547190398,366600,85427
349,0.23330814584072251,389082,90776
350,0.23246612242320314,411703,95707
351,0.2321794134560092,434750,100940
352,0.23384917978451764,458599,107243
353,0.23798182776692406,483705,115113
354,0.24326454459403432,511324,124387
355,0.24826821064485538,539904,134041
356,0.2525248081427372,568261,143500
357,0.25610173357664234,596224,152694
358,0.25935914672690574,623294,161657
359,0.26220454604990456,648959,170160
360,0.2518374558303887,28300,7127
361,0.2873628838233495,49046,14094
362,0.275461317749875,75978,20929
363,0.2697313548637378,103110,27812
364,0.26508660120753796,131176,34773
365,0.27455929226566056,153730,42208
366,0.2691682528819214,187028,50342
367,0.26572162282496753,222353,59084
368,0.26140075940089974,256518,67054
369,0.25537521042524197,286919,73272
370,0.2530905087859093,312489,79088
371,0.24853069061918184,342678,85166
372,0.2445566043310788,372286,91045
373,0.2417623889072169,400116,96733
374,0.2383293298325978,429624,102392
375,0.2357817633576477,458988,108221
376,0.23455449062182238,489754,114874
377,0.2346201186508058,523216,122757
378,0.23452017633095965,560310,131404
379,0.23442780215996872,598342,140268
380,0.2341223986705845,636069,148918
381,0.23407064792782517,673254,157589
382,0.23397923650944313,709033,165899
383,0.23397553253354583,742864,173812
384,0.23688621046250402,28043,6643
385,0.23773564404845982,55221,13128
386,0.2590812459561882,75733,19621
387,0.25398509118511453,102758,26099
388,0.2650809398214243,123981,32865
389,0.27214654254593107,146524,39876
390,0.2768413680401541,171340,47434
391,0.2817717773817157,198061,55808
392,0.2827863744012536,224636,63524
393,0.277385907032105,250366,69448
394,0.27369790531013327,275172,75314
395,0.2671417755686494,303790,81155
396,0.26163134876528293,331088,86623
397,0.2571403779837879,357264,91867
398,0.2526058368660086,383562,96890
399,0.2485894845617105,410311,101999
400,0.2464953617260899,438633,108121
401,0.24576156101866822,471282,115823
402,0.24551813226629698,507824,124680
403,0.2468991422612578,544688,134483
404,0.2473051359724376,581662,143848
405,0.2475070959974367,617954,152948
406,0.24762419237843974,653462,161813
407,0.24782861377075857,688270,170573
408,0.2521723772518545,28310,7139
409,0.25403594273530306,55811,14178
410,0.25463321397464433,82664,21049
411,0.2546220025626945,109260,27820
412,0.26646120656445027,129790,34584
413,0.27487370309799847,151033,41515
414,0.2818420369676173,173395,48870
415,0.27617514834581575,204421,56456
416,0.26930803714240625,234449,63139
417,0.26194601112747756,262054,68644
418,0.2556021095199383,287838,73572
419,0.2505350582973966,313050,78430
420,0.24625292393331952,337730,83167
421,0.24274798182466834,361589,87775
422,0.24016127527699754,385924,92684
423,0.237507440403587,409924,97360
424,0.23583728875742357,436110,102851
425,0.23550897252659997,465978,109742
426,0.23578635786357863,499995,117892
427,0.23602711839082607,535430,126376
428,0.236337719990322,570366,134799
429,0.23651189375278134,604477,142966
430,0.23674923848000137,637869,151015
431,0.23711464767681048,670393,158960
432,0.24574675901260878,28155,6919
433,0.28152921315930335,48574,13675
434,0.2977261788428161,68563,20413
435,0.3057467620686532,88328,27006
436,0.31085536949634707,108269,33656
437,0.2972517319315915,135831,40376
438,0.3006088813797061,156845,47149
439,0.30397730458281474,178362,54218
440,0.3023090870040807,200209,60525
441,0.2988012811561037,221987,66330
442,0.29528599192213034,243381,71867
443,0.29037124987710716,264458,76791
444,0.2853767218137899,285237,81400
445,0.28128609619544054,305607,85963
446,0.27557271681314643,332014,91494
447,0.2712069592645348,360153,97676
448,0.26915958858574424,389583,104860
449,0.26729932310351456,421187,112583
450,0.26520742130498226,455715,120859
451,0.2635715449804433,490880,129382
452,0.2620996123101975,525678,137780
453,0.2611408072261605,559744,146172
454,0.2603441876159946,592700,154306
455,0.25963960441729744,624092,162039
456,0.2555629976929374,26874,6868
457,0.25633727990285365,52704,13510
458,0.2561541617518847,77996,19979
459,0.25572009291521486,103320,26421
460,0.2556475407931726,129127,33011
461,0.2552886797639673,156419,39932
462,0.2526507346054005,186835,47204
463,0.25106482158525883,218816,54937
464,0.25045354759570154,251903,63090
465,0.24963850697252654,285621,71302
466,0.2485908807504441,319171,79343
467,0.24824670113237726,352621,87537
468,0.25190837676960975,378332,95305
469,0.2552844078068747,403593,103031
470,0.2544669952732155,434968,110685
471,0.2533224403201177,467578,118448
472,0.25759542185972756,493126,127027
473,0.2571090541611525,527426,135606
474,0.2565218932813331,564100,144704
475,0.2557271499549004,602001,153948
476,0.2550215623055249,639542,163097
477,0.25435068479371875,676043,171952
478,0.2568828103759229,702511,180463
479,0.25605984075775845,736488,188585
480,0.24206722081676907,27670,6698
481,0.2415072847195429,54429,13145
482,0.24176724780211592,80532,19470
483,0.24183178060621965,106694,25802
484,0.2413147368578748,133502,32216
485,0.23979015584014812,162025,38852
486,0.2378081402526853,194392,46228
487,0.23743439468159552,228640,54287
488,0.24275508881618996,254627,61812
489,0.2440403766489094,280261,68395
490,0.24554675295327488,305339,74975
491,0.24688728156428305,330017,81477
492,0.247392519910512,354461,87691
493,0.24480562827907754,383492,93881
494,0.24296409984919168,411781,100048
495,0.24026793625183832,441299,106030
496,0.2392673531419966,470131,112487
497,0.2375546669749678,501674,119175
498,0.23504434341928754,536720,126153
499,0.2345179625560433,574779,134796
500,0.2339856329765789,612653,143352
501,0.23365581263552138,649344,151723
502,0.2335568548463661,684647,159904
503,0.2333553386591793,718008,167551
504,0.22498863517152148,28597,6434
505,0.25869214593413775,48981,12671
506,0.24667775173804318,76379,18841
507,0.24087027835399683,103645,24965
508,0.237451150342898,131526,31231
509,0.2325682571053891,160899,37420
510,0.22940563086548488,193718,44440
511,0.22761803430142696,228387,51985
512,0.22585864472544073,260818,58908
513,0.22269979250394656,290126,64611
514,0.22030742475843623,317411,69928
515,0.21803750250860196,343817,74965
516,0.2164172843715918,369513,79969
517,0.21505784567568456,395103,84970
518,0.21402924617347543,421662,90248
519,0.21285200585337996,448288,95419
520,0.21255721051375356,477622,101522
521,0.21332969616566644,509554,108703
522,0.2150234397218425,545015,117191
523,0.21690284671018362,581689,126170
524,0.2184062222409193,618041,134984
