hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1811,0,0.231194593,0,0.031227699,0.248390274,0,1.70E-06,0.135952463,0.172681181,0.00296549,0.014593841,0.009733468,0.002113771,0.379183171,0,0.611857097
1812,0,0.206069141,0,0.003761189,0.231369152,0,0,0.136542642,0.113718947,0,0,0,0,0.336767381,0,0.590409296
1813,0,0.18220334,0,0,0.181935594,0,0,0.135397724,0.071796925,0,0,0,0,0.306317612,0,0.564938662
1814,0,0.124604077,0,0,0.099724519,0,0,0.121040814,0.002838418,0,0,0,0,0.262373583,0,0.532963069
1815,0,0.057622664,0,0,0.025161989,0,0,0.085988029,0,0,0,0,0,0.293211306,0,0.508284563
1816,0,0,0,0,0.048085156,0,0,0.013418235,0,0,0,0,0,0.287122251,0,0.510763984
1817,0,0,0,0,0.069014861,0,0,0.005685907,0,0,0,0,0,0.290523585,0,0.539473565
1818,0,0,0,0,0.086705695,0,0,0.007390552,0,0,0.060289893,0,0,0.323096222,0,0.60077408
1819,0,0,0,0,0.117807827,0,0,0.030610259,0,0,0.123317485,0,0,0.332246352,0,0.717608023
1820,0,0.022624165,0,0.123317485,0.228302535,0,0.003916073,0.050373946,0,0,0.123317485,0,0.092488114,0.350859052,0,0.769425376
1821,0.123317485,0.19559375,0,0.093030762,0.279852767,0,0.01938019,0.085501086,0,0,0.142786592,0.01313015,0.144515199,0.377425797,0,0.82382221
1822,0.132018498,0.259803737,0,0.15943122,0.312211297,0,0.03799786,0.100611458,0.001715058,0,0.183676285,0.146767576,0.221315482,0.418326185,0,0.879241864
1823,0.198917326,0.41510485,0,0.242627505,0.356319565,0,0.070836619,0.131072582,0.091619308,0.092488114,0.232449156,0.291324764,0.295556399,0.471248617,0,0.987101719
1824,0.266653146,0.583988856,0,0.314705807,0.393957485,0.029678933,0.115257075,0.187118079,0.183187833,0.155664432,0.291521427,0.350440873,0.346981898,0.521600404,0.034264003,1.169546843
1825,0.307707947,0.681777918,0,0.375592458,0.424148291,0.192552353,0.170967442,0.34029019,0.19054096,0.088413107,0.355068736,0.397930521,0.394917879,0.561687759,0.094742239,1.371638924
1826,0.367960756,0.774948462,0.010781272,0.413393332,0.450846849,0.275498448,0.226107961,0.396714237,0.196065661,0.12138621,0.417359028,0.43192404,0.433735687,0.58522393,0.157076164,1.523676897
1827,0.430555127,0.847907625,0.037653034,0.440504782,0.565069368,0.314184749,0.348530109,0.443876805,0.238109769,0.156054703,0.469372037,0.461517083,0.467296378,0.601773703,0.208126888,1.652971343
1828,0.468796649,0.913512405,0.075099097,0.701476734,0.813929959,0.348940696,0.37013382,0.472133835,0.336004567,0.209440823,0.507013467,0.488284757,0.654682268,0.705300611,0.241306573,1.752825273
1829,0.856221222,1.009701167,0.100497311,0.824702555,0.650540564,0.366728667,0.404254415,0.576524009,0.338985038,0.25753029,0.509355052,0.507849251,0.835645044,1.025137206,0.255943022,1.806573609
1830,0.877554453,1.050412852,0.114503344,0.875130911,0.495345429,0.368474806,0.419996485,0.681852575,0.32911343,0.259539172,0.487591322,0.515919284,0.842669122,1.068469755,0.256106025,1.827913686
1831,0.835069533,0.927519685,0.108700651,0.753592736,0.413667141,0.342303341,0.307365245,0.424687564,0.266297499,0.229817356,0.48074964,0.480316609,0.757128205,0.610859434,0.139460017,1.667754493
1832,0.400464569,0.688105456,0.075076639,0.340372433,0.232442019,0.155694915,0.041911758,0.194068964,0.103971301,0.186910881,0.456805168,0.351082341,0.3598676,0.401265189,0.012004459,1.069246259
1833,0.121530013,0.234960751,0.054565908,0.13767035,0.05022994,0.030846385,0,0.013204317,0.003869623,0.164112104,0.441329809,0.167051337,0.273069964,0.267630136,0,0.818424542
1834,0.007160726,0.019947785,0.030524442,0.012285256,0,0,0,0,0,0.125233837,0.40589185,0.014714229,0.180387354,0.103016797,0,0.684043727
1835,0,0,0.001342534,0,0,0,0,0,0,0.069874797,0.330538478,0,0.046565955,0.016310547,0,0.492752803
1836,0,0,0,0,0,0,0,0,0,0,0.232426921,0,0.005219389,0,0,0.343437431
1837,0,0,0,0,0,0,0,0,0,0,0.192919504,0,0,0,0,0.262288914
1838,0,0,0,0,0,0,0,0,0,0,0.143905791,0,0,0,0,0.211344501
1839,0,0,0,0,0,0,0,0,0,0,0.132131463,0,0,0,0,0.177609631
1840,0,0,0,0,0,0,0,0,0,0,0.097794455,0,0,0,0,0.166673756
1841,0,0,0,0,0,0,0,0,0,0,0.098946605,0,0,0,0,0.175647576
1842,0,0,0,0,0,0,0,0,0,0,0.135590896,0,0,0,0,0.204131509
1843,0,0,0,0,0,0,0,0,0,0,0.149300914,0,0,0,0,0.329065225
1844,0.030829371,0,0,0,0.00093592,0,0,0,0,0,0.168728401,0,0,0,0,0.405888226
1845,0,0.0899457,0,0,0.025206403,0,0,0,0,0,0.281172988,0,0.123317485,0,0,0.456511853
1846,0,0.123272244,0,0,0.06508599,0,0,0,0,0,0.292768529,0,0.14203649,0,0,0.525566625
1847,0.023731886,0.128444104,0.023811356,0.005270675,0.173381584,0,0.069018704,0.001672026,0,0,0.314130705,0.061658742,0.207964211,0.097747959,0,0.629068138
1848,0.076992712,0.201401219,0.068363778,0.069676309,0.298235464,0.011620836,0.202896313,0.058477033,0.109191993,0.01946513,0.318608366,0.164197415,0.285291745,0.177318739,0.011092333,0.73863511
1849,0.145296726,0.299367095,0.121025338,0.268805623,0.336450136,0.053297303,0.278379235,0.242549178,0.218469261,0.061810222,0.347815724,0.250553755,0.356197208,0.228787933,0.073847035,0.934614513
1850,0.192671041,0.539098349,0.169882491,0.352106248,0.355244207,0.112875982,0.330497876,0.312855563,0.285764151,0.102219357,0.445657479,0.316509969,0.476134117,0.266612198,0.145751717,1.20987019
1851,0.212509047,0.713546697,0.248261645,0.525791091,0.358656192,0.178874556,0.37026546,0.382254914,0.316834509,0.153805746,0.531654391,0.379381461,0.722329948,0.323377746,0.276049058,1.421340406
1852,0.309875186,0.793379319,0.362969038,0.432258913,0.366837756,0.306842646,0.397231503,0.40977786,0.380201419,0.190768329,0.548344459,0.440157275,0.801261289,0.34323731,0.342518389,1.613657955
1853,0.351493208,0.84778413,0.394989675,0.455174853,0.369461908,0.359136453,0.419266848,0.429237081,0.424653374,0.196219628,0.574617699,0.469598833,0.841181952,0.36287271,0.368024491,1.787552118
1854,0.354042267,0.906679689,0.408570437,0.685284125,0.366627042,0.36909489,0.437697065,0.443224594,0.438223616,0.20301921,0.595674334,0.475759816,0.850200947,0.38074244,0.378865844,1.90399281
1855,0.354357812,0.826304935,0.383362079,0.493461571,0.294529463,0.292803819,0.302863891,0.341639122,0.383736322,0.193155477,0.821789674,0.431023333,0.749591362,0.344694283,0.18376028,1.826436536
1856,0.345191969,0.333059939,0.26002768,0.277984684,0.176129975,0.081501297,0.052276163,0.132502732,0.232574588,0.136799046,0.856488456,0.302722761,0.392402663,0.19458137,0.001944185,1.054509208
1857,0.294480364,0.100643557,0.06764421,0.091945615,0.148931686,0,0.000695268,0.001194486,0.017898646,0.01314204,0.53054363,0.129185781,0.240241567,0.154418362,0,0.64383158
1858,0.234643702,0,0.007278289,0.00224942,0.089599452,0,0,0,0,0,0.465704814,0.00322741,0.04885896,0.111307777,0,0.450128195
