hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
173,3.6,3.511315,3.298959,3.250267,3.315535,2.141273,2.05566,2.073394,2.105727,2.115631,3.323493,3.337065,3.274491,3.497225,0,3.6,,
174,0.079194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481802,,
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,,
177,2.325,1.05,1.05,1.05,1.05,1.05,0.975,0.975,0.975,0.975,1.05,1.05,1.05,2.4,1.718223,2.087745,,
178,0.911009,2.161746,2.208478,2.161511,2.219712,1.990609,1.956805,1.969882,2.014898,2.030018,2.208493,2.217024,2.192711,1.011059,0,0.225,,
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13148,,
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.271795,0,,
184,2.919009,2.739716,2.709083,2.667174,2.716784,2.503122,2.422619,2.42759,2.45529,2.465502,2.70888,2.721724,2.682931,2.979857,0,2.684016,,
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
187,2.377775,2.26063,2.198038,2.1639,2.20393,2.000408,1.920605,1.924766,1.964273,1.972433,2.190405,2.209877,2.164058,2.181994,2.851593,2.528401,,
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.994953,,
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
200,4.05,3.9,3.9,3.9,3.9,3.771682,3.653399,3.672091,3.702482,3.722013,3.9,3.9,3.9,3.9,3.271333,3.165818,,
201,0.314402,0.298488,0.197499,0.137437,0.220019,0,0,0,0,0,0.208313,0.224099,0.153125,0.265398,0,0,,
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80609,,
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
213,1.35,1.125,0,0,0,0,0,0,0,0,0,1.05,0,1.35,0,0,,
214,0.74418,0.892354,1.95,0.75,1.95,0,0,0,0,0,2.098769,0.93811,1.95,0.740643,0,0,,
215,0,0,0.12922,1.400679,0.122845,0,0,0,0,0,0,0,0.094898,0,0,0,,
216,0,0,0,0,0,1.95,0,0,1.875,1.875,0,0,0,0,0,0,,
217,0,0,0,0,0,0.201788,0,0,0.237757,0.24533,0,0,0,0,0,0,,
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
219,0,0,0,0,0,0,0,2.132441,0,0,0,0,0,0,0,0,,
220,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,,
221,0,0,0,0,0,0,1.382134,0,0,0,0,0,0,0,0,0,,
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,0,,
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481955,0,,
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
235,3.971009,3.988965,3.760433,3.564555,3.755011,3.182157,3.008041,3.043333,3.10902,3.130988,3.829056,3.912265,3.708028,3.8659,2.308801,4.35,,
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583179,,
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
251,4.425,4.425,4.425,4.425,4.425,3.8195,3.65426,3.667079,3.705056,3.733627,4.425,4.425,4.425,4.425,3.165221,4.5,,
252,0.553245,0.281,0.175956,0.135419,0.209194,0,0,0,0,0,0.20612,0.219083,0.157713,0.266364,0,0.737769,,
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
259,3.075,3.075,3.075,3.075,3.075,3.15,3.075,3.075,3.075,3.15,3.075,3.075,3.075,3.075,2.861698,3.15,,
260,0.290112,0.167159,0.086082,0.049097,0.102805,0.186844,0.182506,0.177409,0.212976,0.162036,0.1053,0.116482,0.079974,0.153967,0,0.461705,,
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
262,2.379336,2.269391,2.213314,2.179849,2.227428,2.023997,1.960846,1.955218,1.977601,1.99045,2.218801,2.231747,2.195111,2.265632,0,2.578427,,
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
272,0.375,0.3,0.3,0.3,0.3,0.225,0.225,0.225,0.225,0.225,0.3,0.3,0.3,0.3,0.75,0.375,,
273,3.34793,3.268035,3.181556,3.140584,3.204848,2.96779,2.856222,2.859563,2.910528,2.934507,3.202456,3.20568,3.160503,3.278713,3.628663,3.750943,,
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
284,0.225,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,,
