"ANON_ACCT_ID","ANON_SA_ID","ANON_SERVPNT_ID","MultiFam","MasterMeter"
0544215700,0951220386,3010410082,INDIV,Other
0544215700,6962220739,1617510005,INDIV,Other
0544415852,6526820874,5664410062,INDIV,Other
0544415852,7448520874,9843210032,INDIV,Other
0546815817,2511720262,9460210113,INDIV,Other
0550015824,5175520311,9334910058,MISSING,Other
0550915734,0780132752,5075710029,MISSING,Other
0550915734,1692532742,2571210107,MISSING,Other
0550915734,4997920788,4008510051,MISSING,Other
0550915734,6147232735,9821910055,MISSING,Other
0550915734,6432233423,2107910089,MISSING,Other
0550915734,6628232693,2107910089,MISSING,Other
0550915734,7579733303,9784210010,MISSING,Other
0550915734,7939920836,4443210038,MISSING,Other
0551815732,3257732307,6746010034,INDIV,Other
0551815732,5801032279,7030810065,INDIV,Other
0551815732,9005420403,6848110113,INDIV,Other
0552215808,2357020646,1570810082,INDIV,Other
0552215808,8437720642,6065210003,INDIV,Other
0553615818,3225920371,5273210026,MULTI,Other
0553615818,6568620577,7508010110,MULTI,Other
0556415878,0302235337,0323210183,MISSING,Other
0556415878,6495635024,0323210183,MISSING,Other
0558815864,0470520874,2181510042,INDIV,Other
0559115861,3485520854,5879510003,MULTI,Other
0559115861,3682120854,3456910036,MULTI,Other
0559815739,4179120759,1206410104,MISSING,Other
0559815739,5620520436,7409610023,MISSING,Other
0559815739,7285420777,2558210085,MISSING,Other
0559815739,9925920432,9163710033,MISSING,Other
0564215841,4354620435,5973310013,MISSING,Other
0565515842,0306520430,4563910008,INDIV,Other
0566415877,3504633968,7909410070,MULTI,Other
0566415877,9116033986,1095010104,MULTI,Other
0570415709,6851420336,6796510021,INDIV,Other
0570415709,9551820698,6728710103,INDIV,Other
0571415861,3315920854,4343310083,INDIV,Other
0571415861,3617720854,2011510111,INDIV,Other
0571415861,4119530030,9037110023,INDIV,Other
0571415861,9668230016,9536210105,INDIV,Other
0575715877,9083833984,0350310107,MISSING,Other
