hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
155,0.385003,0.377856,0.386482,0.393188,0.38844,0.179065,0,0,0,0,0.370017,0.380379,0.383354,0,0,0
156,0.109921,0.180421,0.090635,0.030348,0.074214,0.396112,0,0,0.058103,0.136053,0.354108,0.14783,0.117822,0,0,0
157,0,0,0,0,0,0.064712,0.232108,0.275342,0.379588,0.389847,0,0,0,0,0,0
158,0,0,0,0,0,0,0.375491,0.356115,0.221302,0.132683,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063096,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362984,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398847,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058758,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03224
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0.139095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0.373122,0.073755,0,0,0,0,0,0,0,0,0,0,0,0.313505,0,0
172,0.308519,0.360619,0,0,0,0,0,0,0,0,0.223766,0.160433,0,0.370007,0,0
173,0.242281,0.336345,0.257223,0.259692,0.255106,0.256402,0.258948,0.25577,0.253423,0.252928,0.323413,0.322889,0.255463,0.335373,0.249044,2.942449
174,0.363871,0.352438,0.339312,0.34423,0.332739,0.340735,0.356863,0.349121,0.34416,0.343415,0.340345,0.342579,0.33254,1.951887,0.378062,0
175,0.314777,0.376477,0.369298,0.376228,0.3578,0.366561,0.387629,0.376897,0.369692,0.36901,0.363131,0.366749,0.358002,0,0.246917,0
176,0,0.388413,0.381079,0.38949,0.368464,0.379864,0.333264,0.391982,0.382576,0.382219,0.371623,0.376053,0.36779,0,0,0
177,0.318879,0.3488,0.345342,0.354049,0.335109,0.348368,0.069207,0.359007,0.350446,0.349948,0.335678,0.339099,0.335076,2.840761,0.075062,3.007174
178,0.340455,0.342167,0.342583,0.35399,0.332062,0.34865,0.34387,0.359317,0.349952,0.349413,0.32933,0.333744,0.332476,0.743223,0.342127,0.813075
179,0.352143,0.352549,0.355176,0.369017,0.344604,0.363458,0.36696,0.375452,0.364139,0.364036,0.337051,0.343169,0.344913,0,0.363192,0
180,0.374548,0.373596,0.378659,0.395695,0.369069,0.389962,0.398325,0.313348,0.390819,0.391416,0.35448,0.362838,0.368314,0,0.392569,0
181,0.302183,0.285799,0.2628,0.034363,0.398368,0.113374,0.031545,0,0.091182,0.089168,0.375654,0.387767,0.39654,0,0.102472,0
182,0,0,0,0,0.016792,0,0,0,0,0,0.330365,0.100719,0.031401,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044941,0,1.859327
184,0.298589,0.305326,0.308316,0.308624,0.311464,0.182698,0,0,0,0,0.293108,0.303459,0.306962,0.329072,0,0.28435
185,0.391834,0.353173,0.318993,0.254256,0.280155,0.347842,0,0.126308,0.011671,0.164896,0.386011,0.380542,0.25712,0.361336,0,1.283857
186,0.084088,0,0,0,0,0,0.356304,0.394541,0.376897,0.387619,0.110114,0,0,0.385613,0.005744,0
187,0.288044,0.288482,0.292755,0.297561,0.292979,0.3033,0.358097,0.366676,0.357502,0.311296,0.288888,0.288963,0.296532,0.347234,0.337331,2.620065
188,0.370155,0.366974,0.374631,0.383997,0.374914,0.389685,0.393818,0.335107,0.391984,0.336073,0.363181,0.366588,0.380894,0.376672,0.373618,0
189,0.394475,0.387865,0.392623,0.199082,0.39219,0.0591,0.063047,0,0.141188,0,0.382128,0.387042,0.323604,0.393566,0.398779,0
190,0.038526,0.385527,0,0,0,0,0,0,0,0,0.379491,0.384885,0,0.022136,0.364079,1.781877
191,0,0.174861,0,0,0,0,0,0,0,0,0.240839,0.175946,0,0,0,0
